Country,Social Support,Freedom to Make Life Choices,Generosity,Perceptions of Corruption,Year
Dominican Republic,0.919,0.858,0.038,0.755,2021
Dominican Republic,0.848,0.886,-0.008,0.772,2021
Dominican Republic,0.85,0.848,-0.045,0.728,2021
Dominican Republic,0.878,0.863,-0.053,0.806,2021
Dominican Republic,0.86,0.824,-0.075,0.78,2021
Dominican Republic,0.872,0.848,0.014,0.788,2021
Dominican Republic,0.879,0.84,-0.062,0.727,2021
Dominican Republic,0.878,0.889,0.021,0.752,2021
Dominican Republic,0.891,0.905,-0.02,0.76,2021
Dominican Republic,0.893,0.856,-0.065,0.755,2021
Dominican Republic,0.895,0.873,-0.08,0.737,2021
Dominican Republic,0.894,0.855,-0.121,0.76,2021
Dominican Republic,0.862,0.867,-0.15,0.762,2021
Dominican Republic,0.884,0.877,-0.123,0.746,2021
Dominican Republic,0.806,0.835,-0.128,0.636,2021
Ecuador,0.91,0.671,-0.091,0.901,2021
Ecuador,0.839,0.67,-0.063,0.83,2021
Ecuador,0.829,0.64,-0.094,0.801,2021
Ecuador,0.779,0.737,-0.108,0.774,2021
Ecuador,0.839,0.723,-0.063,0.806,2021
Ecuador,0.818,0.788,-0.155,0.702,2021
Ecuador,0.785,0.825,-0.084,0.73,2021
Ecuador,0.801,0.787,-0.191,0.646,2021
Ecuador,0.831,0.719,-0.167,0.661,2021
Ecuador,0.856,0.801,-0.114,0.666,2021
Ecuador,0.842,0.846,-0.015,0.774,2021
Ecuador,0.849,0.879,-0.167,0.734,2021
Ecuador,0.851,0.869,-0.099,0.831,2021
Ecuador,0.808,0.83,-0.115,0.839,2021
Ecuador,0.804,0.829,-0.157,0.855,2021
Egypt,0.744,0.611,-0.1,0.801,2021
Egypt,0.769,0.486,-0.076,0.826,2021
Egypt,0.753,0.59,-0.151,0.859,2021
Egypt,0.737,0.452,-0.138,0.88,2021
Egypt,0.675,0.474,-0.141,0.913,2021
Egypt,0.619,0.578,-0.126,0.749,2021
Egypt,0.73,0.659,-0.089,0.684,2021
Egypt,0.809,0.656,-0.141,0.818,2021
El Salvador,0.878,0.683,-0.056,0.807,2021
El Salvador,0.717,0.639,-0.015,0.785,2021
El Salvador,0.747,0.636,-0.078,0.735,2021
El Salvador,0.734,0.671,-0.103,0.648,2021
El Salvador,0.757,0.669,-0.064,0.694,2021
El Salvador,0.731,0.747,-0.126,0.707,2021
El Salvador,0.806,0.683,-0.155,0.786,2021
El Salvador,0.827,0.716,-0.15,0.772,2021
El Salvador,0.798,0.778,-0.194,0.781,2021
El Salvador,0.791,0.733,-0.156,0.805,2021
El Salvador,0.794,0.8,-0.185,0.797,2021
El Salvador,0.829,0.758,-0.172,0.778,2021
El Salvador,0.82,0.863,-0.095,0.801,2021
El Salvador,0.764,0.877,-0.109,0.682,2021
El Salvador,0.696,0.924,-0.126,0.583,2021
Estonia,0.91,0.749,-0.264,0.797,2021
Estonia,0.896,0.712,-0.246,0.743,2021
Estonia,0.904,0.642,-0.217,0.663,2021
Estonia,0.874,0.611,-0.23,0.793,2021
Estonia,0.909,0.735,-0.168,0.687,2021
Estonia,0.889,0.697,-0.192,0.793,2021
Estonia,0.901,0.754,-0.201,0.726,2021
Estonia,0.917,0.773,-0.153,0.652,2021
Estonia,0.918,0.815,-0.164,0.569,2021
Estonia,0.938,0.843,-0.149,0.639,2021
Estonia,0.936,0.862,-0.101,0.668,2021
Estonia,0.933,0.886,-0.141,0.621,2021
Estonia,0.934,0.887,-0.096,0.576,2021
Estonia,0.958,0.954,-0.082,0.398,2021
Ethiopia,0.602,0.707,-0.008,0.75,2021
Ethiopia,0.64,0.694,0.08,0.702,2021
Ethiopia,0.626,0.803,0.113,0.567,2021
Ethiopia,0.719,0.744,0.038,0.703,2021
Ethiopia,0.734,0.717,0.001,0.757,2021
Ethiopia,0.74,0.74,0.039,0.799,2021
Ethiopia,0.748,0.754,0.053,0.732,2021
Ethiopia,0.823,0.769,0.188,0.784,2021
Finland,0.965,0.969,-0.005,0.132,2021
Finland,0.951,0.934,0.028,0.217,2021
Finland,0.935,0.916,0.091,0.413,2021
Finland,0.938,0.936,0.101,0.32,2021
Finland,0.928,0.921,-0.001,0.361,2021
Finland,0.941,0.919,0.04,0.306,2021
Finland,0.952,0.933,-0.001,0.265,2021
Finland,0.948,0.93,0.111,0.223,2021
Finland,0.954,0.948,-0.027,0.25,2021
Finland,0.964,0.962,-0.002,0.192,2021
Finland,0.962,0.938,-0.127,0.199,2021
Finland,0.937,0.948,-0.052,0.195,2021
Finland,0.962,0.962,-0.116,0.164,2021
France,0.944,0.789,0.126,0.699,2021
France,0.935,0.833,-0.031,0.669,2021
France,0.918,0.798,-0.082,0.654,2021
France,0.943,0.85,-0.104,0.623,2021
France,0.921,0.903,-0.102,0.627,2021
France,0.937,0.841,-0.149,0.608,2021
France,0.908,0.878,-0.125,0.699,2021
France,0.878,0.803,-0.118,0.656,2021
France,0.896,0.817,-0.139,0.641,2021
France,0.885,0.787,-0.091,0.623,2021
France,0.931,0.834,-0.123,0.601,2021
France,0.921,0.816,-0.138,0.582,2021
France,0.958,0.827,-0.133,0.568,2021
France,0.947,0.823,-0.169,0.565,2021
Gabon,0.653,0.772,-0.211,0.851,2021
Gabon,0.736,0.566,-0.195,0.81,2021
Gabon,0.733,0.682,-0.146,0.78,2021
Gabon,0.829,0.607,-0.198,0.782,2021
Gabon,0.756,0.671,-0.194,0.867,2021
Gabon,0.78,0.699,-0.204,0.817,2021
Gabon,0.807,0.652,-0.228,0.868,2021
Gabon,0.785,0.719,-0.197,0.823,2021
Gabon,0.763,0.736,-0.203,0.846,2021
Gambia,0.697,0.812,0.111,0.572,2021
Gambia,0.685,0.719,0.44,0.691,2021
Gambia,0.694,0.677,0.41,0.798,2021
Georgia,0.647,0.553,-0.267,0.752,2021
Georgia,0.548,0.464,-0.267,0.697,2021
Georgia,0.608,0.614,-0.224,0.498,2021
Georgia,0.544,0.495,-0.233,0.535,2021
Georgia,0.54,0.558,-0.248,0.46,2021
Georgia,0.503,0.632,-0.255,0.353,2021
Georgia,0.533,0.659,-0.269,0.321,2021
Georgia,0.559,0.722,-0.254,0.349,2021
Georgia,0.558,0.72,-0.233,0.416,2021
Georgia,0.517,0.64,-0.205,0.502,2021
Georgia,0.533,0.606,-0.249,0.561,2021
Georgia,0.59,0.821,-0.244,0.59,2021
Georgia,0.617,0.775,-0.233,0.755,2021
Georgia,0.675,0.811,-0.26,0.647,2021
Georgia,0.718,0.764,-0.221,0.583,2021
Germany,0.926,0.801,0.167,0.792,2021
Germany,0.935,0.844,0.127,0.69,2021
Germany,0.939,0.843,0.095,0.688,2021
Germany,0.947,0.906,0.033,0.677,2021
Germany,0.926,0.904,0.071,0.679,2021
Germany,0.931,0.894,0.024,0.566,2021
Germany,0.938,0.899,0.088,0.474,2021
Germany,0.926,0.889,0.178,0.412,2021
Germany,0.906,0.871,0.148,0.446,2021
Germany,0.892,0.841,0.145,0.414,2021
Germany,0.92,0.877,0.034,0.496,2021
Germany,0.886,0.885,0.057,0.462,2021
Germany,0.905,0.864,-0.06,0.424,2021
Ghana,0.728,0.849,0.213,0.814,2021
Ghana,0.73,0.891,0.138,0.771,2021
Ghana,0.622,0.838,0.12,0.863,2021
Ghana,0.633,0.757,0.005,0.89,2021
Ghana,0.739,0.891,0.074,0.875,2021
Ghana,0.724,0.852,0.011,0.79,2021
Ghana,0.685,0.679,0.04,0.898,2021
Ghana,0.676,0.794,-0.065,0.88,2021
Ghana,0.651,0.677,0.001,0.913,2021
Ghana,0.687,0.852,-0.038,0.945,2021
Ghana,0.647,0.751,0.09,0.894,2021
Ghana,0.669,0.783,0.079,0.839,2021
Ghana,0.761,0.817,0.062,0.846,2021
Ghana,0.746,0.787,0.116,0.857,2021
Ghana,0.643,0.824,0.2,0.847,2021
Greece,0.808,0.575,-0.19,0.845,2021
Greece,0.793,0.443,-0.293,0.959,2021
Greece,0.868,0.484,-0.303,0.954,2021
Greece,0.852,0.528,-0.316,0.941,2021
Greece,0.812,0.373,-0.305,0.959,2021
Greece,0.687,0.426,-0.272,0.941,2021
Greece,0.832,0.369,-0.288,0.93,2021
Greece,0.835,0.532,-0.272,0.824,2021
Greece,0.803,0.482,-0.26,0.898,2021
Greece,0.753,0.438,-0.29,0.872,2021
Greece,0.794,0.564,-0.335,0.86,2021
Greece,0.891,0.614,-0.289,0.848,2021
Greece,0.779,0.565,-0.241,0.764,2021
Guatemala,0.83,0.663,0.172,0.706,2021
Guatemala,0.866,0.628,0.136,0.81,2021
Guatemala,0.866,0.63,0.206,0.796,2021
Guatemala,0.834,0.643,0.197,0.755,2021
Guatemala,0.859,0.696,0.166,0.795,2021
Guatemala,0.768,0.763,0.009,0.863,2021
Guatemala,0.802,0.865,0.02,0.821,2021
Guatemala,0.83,0.884,0.045,0.817,2021
Guatemala,0.834,0.843,0.108,0.804,2021
Guatemala,0.823,0.869,0.051,0.822,2021
Guatemala,0.811,0.863,0.011,0.812,2021
Guatemala,0.826,0.915,-0.059,0.8,2021
Guatemala,0.841,0.91,-0.01,0.765,2021
Guatemala,0.774,0.901,-0.062,0.773,2021
Guinea,0.598,0.797,0.041,0.743,2021
Guinea,0.542,0.646,0.001,0.794,2021
Guinea,0.567,0.693,0.091,0.815,2021
Guinea,0.638,0.684,0.006,0.705,2021
Guinea,0.579,0.666,0.007,0.762,2021
Guinea,0.675,0.726,-0.056,0.803,2021
Guinea,0.634,0.738,0.038,0.75,2021
Guinea,0.63,0.731,0.092,0.778,2021
Guinea,0.655,0.691,0.097,0.756,2021
Guyana,0.849,0.694,0.11,0.836,2021
Haiti,0.694,0.449,0.401,0.854,2021
Haiti,0.679,0.465,0.261,0.812,2021
Haiti,0.554,0.373,0.216,0.848,2021
Haiti,0.567,0.413,0.243,0.682,2021
Haiti,0.749,0.482,0.289,0.717,2021
Haiti,0.648,0.61,0.289,0.669,2021
Haiti,0.554,0.509,0.285,0.708,2021
Haiti,0.564,0.398,0.306,0.777,2021
Haiti,0.584,0.304,0.291,0.839,2021
Haiti,0.647,0.484,0.381,0.647,2021
Haiti,0.538,0.591,0.422,0.72,2021
Honduras,0.933,0.65,0.089,0.844,2021
Honduras,0.819,0.676,0.23,0.826,2021
Honduras,0.828,0.687,0.223,0.863,2021
Honduras,0.824,0.661,0.119,0.857,2021
Honduras,0.803,0.646,0.105,0.82,2021
Honduras,0.766,0.783,0.095,0.884,2021
Honduras,0.779,0.7,-0.003,0.871,2021
Honduras,0.792,0.698,-0.027,0.868,2021
Honduras,0.79,0.696,0.015,0.834,2021
Honduras,0.772,0.534,-0.097,0.848,2021
Honduras,0.774,0.85,0.08,0.793,2021
Honduras,0.843,0.898,0.072,0.783,2021
Honduras,0.827,0.872,0.099,0.804,2021
Honduras,0.797,0.846,0.063,0.815,2021
Hong Kong S.A.R. of China,0.812,0.91,0.156,0.356,2021
Hong Kong S.A.R. of China,0.84,0.922,0.296,0.274,2021
Hong Kong S.A.R. of China,0.835,0.918,0.308,0.272,2021
Hong Kong S.A.R. of China,0.857,0.89,0.332,0.256,2021
Hong Kong S.A.R. of China,0.846,0.894,0.235,0.245,2021
Hong Kong S.A.R. of China,0.826,0.88,0.222,0.38,2021
Hong Kong S.A.R. of China,0.834,0.843,0.224,0.423,2021
Hong Kong S.A.R. of China,0.832,0.8,0.1,0.403,2021
Hong Kong S.A.R. of China,0.831,0.831,0.14,0.416,2021
Hong Kong S.A.R. of China,0.856,0.727,0.067,0.432,2021
Hungary,0.931,0.538,-0.161,0.895,2021
Hungary,0.901,0.464,-0.125,0.915,2021
Hungary,0.896,0.514,-0.145,0.983,2021
Hungary,0.894,0.631,-0.089,0.94,2021
Hungary,0.906,0.569,-0.136,0.93,2021
Hungary,0.877,0.674,-0.113,0.912,2021
Hungary,0.845,0.494,-0.15,0.855,2021
Hungary,0.859,0.558,-0.198,0.908,2021
Hungary,0.9,0.554,-0.187,0.924,2021
Hungary,0.877,0.661,-0.139,0.886,2021
Hungary,0.941,0.693,-0.243,0.911,2021
Hungary,0.947,0.798,-0.195,0.884,2021
Hungary,0.943,0.771,-0.12,0.836,2021
Iceland,0.977,0.885,0.272,0.708,2021
Iceland,0.979,0.905,0.241,0.759,2021
Iceland,0.967,0.923,0.306,0.713,2021
Iceland,0.98,0.94,0.301,0.639,2021
Iceland,0.985,0.952,0.281,0.719,2021
Iceland,0.967,0.939,0.246,0.727,2021
Iceland,0.983,0.949,0.16,0.644,2021
India,0.569,0.729,-0.051,0.862,2021
India,0.684,0.756,-0.072,0.891,2021
India,0.653,0.679,-0.026,0.895,2021
India,0.605,0.783,0.058,0.863,2021
India,0.553,0.838,-0.038,0.908,2021
India,0.511,0.609,0.067,0.83,2021
India,0.553,0.74,0.084,0.832,2021
India,0.621,0.809,-0.026,0.832,2021
India,0.61,0.777,-0.005,0.776,2021
India,0.614,0.82,0.046,0.765,2021
India,0.607,0.886,-0.042,0.781,2021
India,0.638,0.89,0.085,0.805,2021
India,0.561,0.876,0.112,0.752,2021
India,0.617,0.906,0.075,0.78,2021
Indonesia,0.771,0.713,0.347,0.915,2021
Indonesia,0.704,0.603,0.311,0.96,2021
Indonesia,0.675,0.596,0.164,0.968,2021
Indonesia,0.779,0.784,0.191,0.911,2021
Indonesia,0.816,0.7,0.448,0.954,2021
Indonesia,0.825,0.878,0.438,0.962,2021
Indonesia,0.834,0.77,0.354,0.962,2021
Indonesia,0.794,0.781,0.376,0.973,2021
Indonesia,0.905,0.719,0.408,0.97,2021
Indonesia,0.809,0.779,0.471,0.946,2021
Indonesia,0.792,0.83,0.5,0.89,2021
Indonesia,0.796,0.865,0.488,0.9,2021
Indonesia,0.809,0.879,0.512,0.868,2021
Indonesia,0.802,0.866,0.555,0.861,2021
Iran,0.718,0.533,0.056,0.872,2021
Iran,0.633,0.601,0.052,0.868,2021
Iran,0.582,0.798,0.2,0.665,2021
Iran,0.664,0.73,0.216,0.685,2021
Iran,0.644,0.767,0.241,0.64,2021
Iran,0.572,0.78,0.176,0.699,2021
Iran,0.566,0.773,0.186,0.713,2021
Iran,0.714,0.731,0.218,0.715,2021
Iraq,0.744,0.386,-0.061,0.91,2021
Iraq,0.862,0.431,-0.199,0.854,2021
Iraq,0.854,0.419,-0.125,0.859,2021
Iraq,0.751,0.347,-0.07,0.78,2021
Iraq,0.73,0.315,-0.02,0.789,2021
Iraq,0.725,0.646,-0.001,0.726,2021
Iraq,0.684,0.599,0.019,0.762,2021
Iraq,0.719,0.666,-0.052,0.799,2021
Iraq,0.695,0.628,0.0,0.757,2021
Iraq,0.764,0.598,-0.068,0.887,2021
Iraq,0.708,0.7,-0.021,0.849,2021
Ireland,0.967,0.943,0.242,0.473,2021
Ireland,0.983,0.894,0.322,0.487,2021
Ireland,0.959,0.835,0.315,0.58,2021
Ireland,0.973,0.856,0.348,0.618,2021
Ireland,0.977,0.952,0.383,0.59,2021
Ireland,0.962,0.902,0.302,0.573,2021
Ireland,0.955,0.884,0.331,0.558,2021
Ireland,0.968,0.922,0.264,0.406,2021
Ireland,0.953,0.892,0.233,0.409,2021
Ireland,0.958,0.875,0.174,0.399,2021
Ireland,0.943,0.905,0.216,0.337,2021
Ireland,0.938,0.861,0.144,0.362,2021
Ireland,0.944,0.892,0.074,0.373,2021
Ireland,0.96,0.882,0.014,0.356,2021
Israel,0.868,0.683,0.219,0.868,2021
Israel,0.859,0.663,0.139,0.898,2021
Israel,0.937,0.593,0.172,0.923,2021
Israel,0.882,0.561,0.15,0.902,2021
Israel,0.893,0.722,0.141,0.891,2021
Israel,0.903,0.681,0.153,0.862,2021
Israel,0.909,0.739,0.15,0.849,2021
Israel,0.889,0.707,0.094,0.818,2021
Israel,0.864,0.753,0.108,0.789,2021
Israel,0.89,0.772,0.153,0.804,2021
Israel,0.916,0.768,0.145,0.793,2021
Israel,0.91,0.725,0.055,0.77,2021
Israel,0.946,0.834,0.085,0.743,2021
Israel,0.959,0.831,-0.049,0.748,2021
Italy,0.912,0.684,0.113,0.922,2021
Italy,0.88,0.543,0.049,0.946,2021
Italy,0.88,0.701,0.24,0.89,2021
Italy,0.872,0.738,-0.06,0.921,2021
Italy,0.913,0.568,-0.018,0.933,2021
Italy,0.869,0.57,0.113,0.908,2021
Italy,0.916,0.499,-0.102,0.943,2021
Italy,0.898,0.624,-0.065,0.92,2021
Italy,0.909,0.575,-0.064,0.913,2021
Italy,0.927,0.624,-0.081,0.903,2021
Italy,0.92,0.633,-0.035,0.867,2021
Italy,0.913,0.65,-0.021,0.888,2021
Italy,0.838,0.709,-0.082,0.866,2021
Italy,0.89,0.718,-0.15,0.844,2021
Ivory Coast,0.667,0.76,-0.153,0.902,2021
Ivory Coast,0.709,0.739,-0.031,0.691,2021
Ivory Coast,0.711,0.781,-0.08,0.671,2021
Ivory Coast,0.704,0.8,-0.053,0.744,2021
Ivory Coast,0.617,0.769,-0.043,0.757,2021
Ivory Coast,0.661,0.732,-0.111,0.771,2021
Ivory Coast,0.621,0.713,-0.05,0.791,2021
Ivory Coast,0.679,0.736,-0.017,0.799,2021
Ivory Coast,0.613,0.77,0.016,0.777,2021
Jamaica,0.909,0.738,-0.004,0.946,2021
Jamaica,0.855,0.796,-0.064,0.909,2021
Jamaica,0.865,0.793,-0.021,0.931,2021
Jamaica,0.874,0.809,-0.001,0.861,2021
Jamaica,0.913,0.861,-0.13,0.883,2021
Jamaica,0.878,0.891,-0.137,0.885,2021
Japan,0.938,0.796,-0.09,0.809,2021
Japan,0.887,0.772,-0.135,0.816,2021
Japan,0.888,0.73,-0.21,0.74,2021
Japan,0.902,0.772,-0.14,0.77,2021
Japan,0.917,0.814,-0.052,0.734,2021
Japan,0.924,0.821,-0.147,0.65,2021
Japan,0.9,0.838,-0.139,0.617,2021
Japan,0.923,0.832,-0.155,0.654,2021
Japan,0.9,0.836,-0.062,0.698,2021
Japan,0.882,0.849,-0.206,0.659,2021
Japan,0.886,0.773,-0.261,0.687,2021
Japan,0.878,0.806,-0.255,0.617,2021
Japan,0.887,0.806,-0.259,0.609,2021
Jordan,0.841,0.646,-0.112,0.664,2021
Jordan,0.899,0.771,-0.075,0.739,2021
Kazakhstan,0.872,0.731,-0.274,0.865,2021
Kazakhstan,0.861,0.806,-0.246,0.865,2021
Kazakhstan,0.839,0.727,-0.221,0.899,2021
Kazakhstan,0.893,0.856,-0.249,0.845,2021
Kazakhstan,0.904,0.785,-0.215,0.823,2021
Kazakhstan,0.905,0.878,-0.235,0.802,2021
Kazakhstan,0.892,0.84,-0.171,0.877,2021
Kazakhstan,0.889,0.782,-0.229,0.82,2021
Kazakhstan,0.795,0.799,0.004,0.805,2021
Kazakhstan,0.931,0.74,-0.037,0.714,2021
Kazakhstan,0.928,0.783,-0.036,0.702,2021
Kazakhstan,0.914,0.745,-0.035,0.755,2021
Kazakhstan,0.937,0.84,-0.098,0.824,2021
Kazakhstan,0.951,0.852,-0.055,0.708,2021
Kazakhstan,0.966,0.872,-0.056,0.661,2021
Kenya,0.909,0.616,-0.02,0.86,2021
Kenya,0.841,0.75,0.054,0.799,2021
Kenya,0.827,0.62,-0.012,0.909,2021
Kenya,0.789,0.584,0.1,0.913,2021
Kenya,0.805,0.635,0.019,0.918,2021
Kenya,0.846,0.709,0.022,0.923,2021
Kenya,0.831,0.628,0.066,0.911,2021
Kenya,0.825,0.708,0.212,0.861,2021
Kenya,0.765,0.819,0.172,0.849,2021
Kenya,0.777,0.793,0.221,0.853,2021
Kenya,0.706,0.749,0.298,0.828,2021
Kenya,0.715,0.853,0.234,0.854,2021
Kenya,0.707,0.821,0.291,0.844,2021
Kenya,0.676,0.818,0.31,0.794,2021
Kenya,0.674,0.702,0.26,0.837,2021
Kosovo,0.848,0.381,0.144,0.894,2021
Kosovo,0.83,0.506,0.201,0.968,2021
Kosovo,0.708,0.451,0.17,0.967,2021
Kosovo,0.759,0.589,0.004,0.919,2021
Kosovo,0.757,0.636,0.027,0.95,2021
Kosovo,0.721,0.568,0.115,0.935,2021
Kosovo,0.706,0.441,0.012,0.775,2021
Kosovo,0.805,0.561,0.181,0.851,2021
Kosovo,0.824,0.827,0.125,0.941,2021
Kosovo,0.792,0.858,0.117,0.925,2021
Kosovo,0.822,0.89,0.269,0.922,2021
Kosovo,0.843,0.841,0.247,0.92,2021
Kuwait,0.919,0.769,-0.236,0.328,2021
Kuwait,0.926,0.819,0.007,0.675,2021
Kuwait,0.893,0.703,-0.031,0.486,2021
Kyrgyzstan,0.844,0.678,-0.14,0.879,2021
Kyrgyzstan,0.833,0.684,-0.091,0.929,2021
Kyrgyzstan,0.792,0.719,-0.1,0.923,2021
Kyrgyzstan,0.855,0.699,-0.14,0.896,2021
Kyrgyzstan,0.885,0.72,-0.072,0.926,2021
Kyrgyzstan,0.891,0.748,-0.155,0.932,2021
Kyrgyzstan,0.856,0.703,-0.079,0.892,2021
Kyrgyzstan,0.851,0.755,-0.085,0.9,2021
Kyrgyzstan,0.898,0.736,0.355,0.897,2021
Kyrgyzstan,0.857,0.813,0.2,0.858,2021
Kyrgyzstan,0.914,0.814,0.056,0.917,2021
Kyrgyzstan,0.883,0.859,0.143,0.874,2021
Kyrgyzstan,0.898,0.945,0.267,0.907,2021
Kyrgyzstan,0.877,0.92,-0.002,0.885,2021
Kyrgyzstan,0.902,0.935,0.103,0.931,2021
Laos,0.807,0.925,0.439,0.688,2021
Laos,0.79,0.867,0.478,0.58,2021
Laos,0.807,0.886,0.416,0.637,2021
Laos,0.691,0.882,0.459,0.587,2021
Laos,0.707,0.891,0.073,0.592,2021
Laos,0.705,0.907,0.141,0.634,2021
Laos,0.729,0.906,0.061,0.62,2021
Laos,0.66,0.915,0.141,0.748,2021
Latvia,0.884,0.641,-0.229,0.937,2021
Latvia,0.836,0.7,-0.167,0.924,2021
Latvia,0.855,0.63,-0.203,0.926,2021
Latvia,0.807,0.437,-0.18,0.942,2021
Latvia,0.836,0.564,-0.002,0.934,2021
Latvia,0.851,0.564,-0.038,0.895,2021
Latvia,0.834,0.631,-0.073,0.837,2021
Latvia,0.881,0.671,-0.043,0.804,2021
Latvia,0.879,0.656,-0.077,0.808,2021
Latvia,0.917,0.685,-0.156,0.868,2021
